教室,緯度,経度
1B201,36.108747,140.102901
1B202,36.108747,140.102901
1B203,36.108747,140.102901
1B204,36.108747,140.102901
1B208,36.108747,140.102901
1B210,36.108747,140.102901
1B302,36.108747,140.102901
1B303,36.108747,140.102901
1B308,36.108747,140.102901
1B309,36.108747,140.102901
1B310,36.108747,140.102901
1B402,36.108747,140.102901
1B403,36.108747,140.102901
1B408,36.108747,140.102901
1B409,36.108747,140.102901
1B410,36.108747,140.102901
1C108,36.108637,140.1024
1C109,36.108637,140.1024
1C113,36.108637,140.1024
1C115,36.108637,140.1024
1C118,36.108637,140.1024
1C206,36.108637,140.1024
1C210,36.108637,140.1024
1C304,36.108637,140.1024
1C305,36.108637,140.1024
1C306,36.108637,140.1024
1C310,36.108637,140.1024
1C401,36.108637,140.1024
1C402,36.108637,140.1024
1C403,36.108637,140.1024
1C404,36.108637,140.1024
1C405,36.108637,140.1024
1C406,36.108637,140.1024
1D108,36.108428,140.10179
1D109,36.108428,140.10179
1D201,36.108428,140.10179
1D204,36.108428,140.10179
1D301,36.108428,140.10179
1D301-1,36.108428,140.10179
1E101,36.108229,140.101447
1E102,36.108229,140.101447
1E103,36.108229,140.101447
1E201,36.108229,140.101447
1E202,36.108229,140.101447
1E203,36.108229,140.101447
1E204,36.108229,140.101447
1E205,36.108229,140.101447
1E302,36.108229,140.101447
1E303,36.108229,140.101447
1E401,36.108229,140.101447
1E402,36.108229,140.101447
1E501,36.108229,140.101447
1E502,36.108229,140.101447
1E503,36.108229,140.101447
1E504,36.108229,140.101447
1F117講義室,36.107778,140.101425
1F119講義室,36.107778,140.101425
1G101,36.107355,140.101689
1G105,36.107355,140.101689
1G201,36.107355,140.101689
1G202,36.107355,140.101689
1G204,36.107355,140.101689
1G205,36.107355,140.101689
1G206,36.107355,140.101689
1G406,36.107355,140.101689
1H101,36.108473,140.103123
1H201,36.108473,140.103123
2A303,36.110885,140.101686
2A304,36.110885,140.101686
2A309,36.110885,140.101686
2A406,36.110885,140.101686
2A407,36.110885,140.101686
2A408,36.110885,140.101686
2A409,36.110885,140.101686
2A410,36.110885,140.101686
2B201,36.111002,140.101254
2B203,36.111002,140.101254
2B206,36.111002,140.101254
2B207,36.111002,140.101254
2B208,36.111002,140.101254
2B209,36.111002,140.101254
2B301,36.111002,140.101254
2B303,36.111002,140.101254
2B309,36.111002,140.101254
2B401,36.111002,140.101254
2B403,36.111002,140.101254
2B406,36.111002,140.101254
2B409,36.111002,140.101254
2B411,36.111002,140.101254
2B412,36.111002,140.101254
2B501,36.111002,140.101254
2B503,36.111002,140.101254
2B507,36.111002,140.101254
2B508,36.111002,140.101254
2C101,36.111414,140.101013
2C102,36.111414,140.101013
2C107,36.111414,140.101013
2C109,36.111414,140.101013
2C204（講義室）,36.111414,140.101013
2C310,36.111414,140.101013
2C403,36.111414,140.101013
2C404,36.111414,140.101013
2C407,36.111414,140.101013
2C410,36.111414,140.101013
2D102,36.111735,140.1006
2D103,36.111735,140.1006
2D108-1,36.111735,140.1006
2D110-1,36.111735,140.1006
2D118-1,36.111735,140.1006
2D201,36.111735,140.1006
2D202,36.111735,140.1006
2D202-203,36.111735,140.1006
2D203,36.111735,140.1006
2D204,36.111735,140.1006
2D205,36.111735,140.1006
2D206,36.111735,140.1006
2D303,36.111735,140.1006
2D304,36.111735,140.1006
2D305,36.111735,140.1006
2D306,36.111735,140.1006
2D307,36.111735,140.1006
2D309,36.111735,140.1006
2D315,36.111735,140.1006
2D316,36.111735,140.1006
2D318,36.111735,140.1006
2D402,36.111735,140.1006
2D406,36.111735,140.1006
2D407,36.111735,140.1006
2D409,36.111735,140.1006
2D410,36.111735,140.1006
2D413,36.111735,140.1006
2D417,36.111735,140.1006
2F講義室9,,
2G203,36.112075,140.100407
