科目番号,科目名,実施学期,曜時限,教室
GA10101,情報社会と法制度,秋AB,"月5,6",
GA10201,知的財産概論,秋AB,"金5,6",
GA12111,知能と情報科学,春BC,火2,
GA12201,計算と情報科学,春C,"木5,6",
GA12301,システムと情報科学,秋B,"火5,6",
GA12401,情報科学概論,春B,"金5,6",
GA13401,情報メディア入門,春A,"金5,6",
GA13501,コンテンツ入門,秋AB,"金5,6",
GA14111,知識情報概論,春A,"火1,2",
GA14121,知識情報概論,秋AB,月2,
GA14201,知識情報システム概説,春BC,木4,
GA14301,図書館概論,秋AB,"木3,4",
GA15111,情報数学A,春AB,"木5,6",3A209
GA15121,情報数学A,春AB,"木5,6",3A306
GA15131,情報数学A,春AB,"木5,6",ユニオン講義室
GA15141,情報数学A,春AB,"木5,6",3A301
GA15211,線形代数A,春BC,"金3,4",3B402
GA15221,線形代数A,春BC,"金3,4",3B405
GA15231,線形代数A,春BC,"金3,4",3A301
GA15241,線形代数A,春BC,"金3,4",共同利用棟A201
GA15311,微分積分A,秋AB,"金3,4",3A301
GA15321,微分積分A,秋AB,"金3,4",3B405
GA15331,微分積分A,秋AB,"金3,4",3B402
GA15341,微分積分A,秋AB,"金3,4",共同利用棟A201
GA18212,プログラミング入門A,秋AB,"木5,6","3C113,3C205,3C206"
GA18222,プログラミング入門A,秋AB,"木5,6",3A402
GA18232,プログラミング入門A,秋AB,"木5,6","7A105,7C102,7C103"
GA18242,プログラミング入門A,,,
GA18312,プログラミング入門B,秋C,"木5,6","3C113,3C205,3C206"
GA18322,プログラミング入門B,秋C,"木5,6",3A402
GA18332,プログラミング入門B,秋C,"木5,6","7A105,7C102,7C103"
GA18342,プログラミング入門B,,,
GA40103,体験型システム開発A,春ABC,"水3,4,金5,6",
GA40203,体験型システム開発B,秋ABC,"水3,4,金5,6",
GA40503,ビジネスシステムデザイン基礎I,夏季休業中,集中,3B311
GA40603,ビジネスシステムデザイン実践I,秋ABC,応談,
GA40703,ビジネスシステムデザイン基礎II,夏季休業中,集中,3B311
GA40803,ビジネスシステムデザイン実践II,秋ABC,"水3,4,金5,6",3B311
GB10234,線形代数B,春AB,"月1,2",3B202
GB10244,線形代数B,春AB,"月1,2",3B203
GB10444,微分積分B,春AB,"木3,4",3B402
GB10454,微分積分B,春AB,"木3,4",3A203
GB10524,微分方程式,秋AB,"水1,2",3B402
GB10804,論理回路,春A,"火1,2","3A402,3A301"
GB10804,論理回路,春B,"金5,6","3A402,3A301"
GB11601,確率論,春AB,"月3,4",
GB11621,統計学,秋AB,"木5,6",3A301
GB11931,データ構造とアルゴリズム,秋ABC,"月1,2",3A301
GB11956,データ構造とアルゴリズム実験,秋AB,"月3,4,5","3C113,3C205"
GB11956,データ構造とアルゴリズム実験,秋C,"月3,4","3C113,3C205"
GB11964,コンピュータとプログラミング,春ABC,"金3,4","3A204,3C113"
GB11966,データ構造とアルゴリズム実験,秋AB,"月3,4,5","3C113,3C205"
GB11966,データ構造とアルゴリズム実験,秋C,"月3,4","3C113,3C205"
GB12017,論理回路演習,秋AB,"火5,6","3C301,3C304,3B402"
GB12201,電気回路,秋AB,"金1,2",3A410
GB12301,数値計算法,春AB,"火3,4",3A304
GB12401,システム制御概論,秋AB,"金3,4",3B202
GB12601,論理と形式化,春AB,"金1,2",3A209
GB12801,論理システム,春C,"火1,2",
GB12812,論理システム演習,春C,"木1,2",
GB13024,オブジェクト指向プログラミング,秋C,"水1,2,木3,4",3A301
GB13106,論理システム実験,秋AB,集中,
GB13312,情報特別演習I,通年,随時,
GB13322,情報特別演習II,通年,随時,
GB13332,情報科学特別演習,通年,随時,
GB13614,Computer Science in English A,春AB,"月1,2",
GB13624,Computer Science in English B,秋AB,"水5,6",3B302
GB13704,コンピュータグラフィックス基礎,秋AB,"火3,4",3A202
GB13903,インターンシップI,通年,応談,
GB13913,インターンシップII,通年,応談,
GB13923,海外インターンシップ,通年,応談,
GB19041,専門語学A,春ABC,応談,
GB19051,専門語学B,秋ABC,応談,
GB19061,専門英語基礎,秋AB,"水5,6",3A301
GB19071,専門語学A,秋ABC,応談,
GB19081,専門語学B,春ABC,応談,
GB19091,専門語学A,春ABC,応談,
GB19101,専門語学B,秋ABC,応談,
GB19111,専門語学A,秋ABC,応談,
GB19121,専門語学B,春ABC,応談,
GB19141,特別専門語学A,春ABC,応談,
GB19151,特別専門語学B,秋ABC,応談,
GB19848,特別卒業研究A,春ABC,応談,
GB19858,特別卒業研究B,秋ABC,応談,
GB19948,卒業研究A,春ABC,応談,
GB19958,卒業研究B,秋ABC,応談,
GB19968,特別研究A,春ABC,応談,
GB19978,特別研究B,秋ABC,応談,
GB19988,卒業研究A,秋ABC,応談,
GB19998,卒業研究B,春ABC,応談,
GB20201,数理アルゴリズムとシミュレーション,秋AB,"木3,4",3B405
GB20301,人工知能,秋AB,"火3,4",3A204
GB20401,オートマトンと形式言語,秋AB,"木5,6",3A304
GB20501,プログラム理論,春C,"水5,6",3A203
GB20602,プログラミングチャレンジ,春AB,"火3,4","3C205,3C206"
GB21201,プログラム言語論,春C,"月3,4",3A304
GB22011,システム数理I,春A,"木3,4",3A312
GB22021,システム数理II,春C,"火5,6",3A312
GB22031,システム数理III,春C,"月5,6",3A304
GB22401,インタラクティブCG,春AB,"月3,4",3A203
GB22501,情報線形代数,秋AB,"月1,2",3A416
GB22621,情報可視化,春AB,"月5,6",
GB26403,ソフトウェアサイエンス実験A,春ABC,"水3,4,金5,6","3C113,3C205"
GB26503,ソフトウェアサイエンス実験B,秋ABC,"水3,4,金5,6","3C113,3C205"
GB27001,ソフトウェアサイエンス特別講義A,秋C,集中,
GB27101,ソフトウェアサイエンス特別講義C,通年,集中,
GB27201,ソフトウェアサイエンス特別講義D,通年,集中,
GB27401,ソフトウェアサイエンス特別講義B,通年,集中,
GB30101,コンピュータネットワーク,春AB,"木5,6","3A304,3A308,3A311"
GB30201,計算機アーキテクチャ,春AB,"火1,2",3B405
GB30311,データベース概論A,春AB,"木1,2",3A301
GB30401,オペレーティングシステムI,秋AB,"月5,6",3A204
GB30411,オペレーティングシステム,秋AB,"月5,6",3A204
GB30504,プログラム言語処理,秋AB,"火1,2",3A304
GB30601,ソフトウェア工学,秋AB,"水5,6",3A402
GB31111,並列処理アーキテクチャI,春AB,火5,3B405
GB31121,並列処理アーキテクチャII,秋AB,水2,3B405
GB31201,VLSI工学,春AB,"火3,4",3A415
GB31401,システムプログラム,春BC,"水1,2",3C113
GB31611,データベース概論B,秋A,"金3,4",3A312
GB31701,情報検索概論,秋AB,"木1,2",3A209
GB31801,オペレーティングシステムII,秋C,"水5,6,金3,4",3A416
GB31901,分散システム,秋AB,月3,3A405
GB32201,電子回路,春AB,"木5,6",3A410
GB32301,人工生命概論,,,
GB36403,情報システム実験A,春ABC,"水3,4,金5,6","3C113,3C205"
GB36503,情報システム実験B,秋ABC,"水3,4,金5,6","3C113,3C205"
GB37001,情報システム特別講義A,秋C,集中,
GB37101,情報システム特別講義B,春C,集中,3C206
GB37201,情報システム特別講義C,通年,集中,
GB37301,情報システム特別講義D,秋C,集中,
GB40111,情報セキュリティ,春AB,"金1,2",3A402
GB40301,ヒューマンインタフェース,春AB,"木5,6",3A402
GB40411,信号処理,春AB,"金3,4",3A416
GB40501,機械学習,春AB,"火1,2",3A209
GB40601,情報理論,秋C,"火3,4,金3,4",3A403
GB41104,アドバンストCG,秋AB,"木3,4",7C202
GB41511,音声聴覚情報処理,春C,"金3,4",
GB41611,自然言語処理,春C,"木3,4",3A402
GB41711,視覚情報科学,春AB,"火5,6",3A403
GB42201,画像メディア工学,秋AB,"火5,6",3A409
GB42301,画像認識工学,春AB,"木3,4",3B405
GB46403,知能情報メディア実験A,春ABC,"水3,4,金5,6","3C113,3C205"
GB46503,知能情報メディア実験B,秋ABC,"水3,4,金5,6","3C113,3C205"
GB47001,知能情報メディア特別講義A,夏季休業中,集中,3L202
GB47101,知能情報メディア特別講義B,通年,集中,
GB47201,知能情報メディア特別講義C,通年,集中,
GB47301,知能情報メディア特別講義D,通年,集中,
GC11601,確率と統計,春AB,"水1,2",7A106
GC11701,微分積分B,春AB,"木3,4",7A106
GC11801,線形代数B,春AB,"月1,2",7A105
GC12104,コンピュータリテラシー,,,
GC12301,プログラミングII,秋AB,応談,
GC12401,データ構造とアルゴリズム,秋AB,"火1,2",7A106
GC12403,データ構造とアルゴリズム実習,秋AB,"月1,2",7C202
GC12701,プログラミング,春AB,"火5,6",7C202
GC13101,コンピュータシステムとOS,春AB,"月5,6",7C202
GC13201,データ工学概論,春BC,"火3,4",7C202
GC20101,メディア社会学,秋C,"月3,4,木3,4",
GC21401,統計分析法,秋C,"月5,6,水5,6","7A106,7C202"
GC21501,情報数学B,秋AB,"月3,4",7A106
GC21601,情報数学C,秋AB,"水3,4",7A106
GC22101,Webプログラミング,秋AB,"木1,2","7A105,7C202"
GC22201,プログラム言語論,春AB,"木1,2",7C202
GC23101,信号とシステム,秋AB,"水1,2",7A106
GC23201,情報理論,秋BC,"木5,6","7A106,7C202"
GC23304,CG基礎,秋AB,"火3,4",3A202
GC23401,パターン認識,春AB,"月3,4",7A106
GC23501,画像・映像情報処理,秋AB,"月5,6","7A106,7C202"
GC23601,音声・音響学基礎,春AB,"木3,4",7A103
GC24101,情報デザインI,秋AB,"火3,4",7A106
GC24401,コンテンツ概論,,,
GC24501,コンテンツ流通基盤概論,,,
GC24601,メディアコンテンツ概論,秋AB,"火5,6",7A106
GC25301,コンピュータネットワーク,春AB,"木5,6","3A304,3A308,3A311"
GC26101,人間計測の方法,秋AB,木4,7A106
GC26201,認知科学,春AB,"月3,4",7A105
GC27202,情報メディア特別演習I,通年,応談,
GC27302,情報メディア特別演習II,通年,応談,
GC27701,ACPC連携講座: ライブ・コンテンツ論,春AB,"水5,6",ユニオン講義室
GC27992,現代アート・メディアアート演習,秋AB,"金3,4","6A208,6A204"
GC41103,情報メディア実験A,春ABC,"水3,4,金5,6","7B106,7C202,クリエイティブメディアラボ"
GC41203,情報メディア実験B,秋ABC,"水3,4,金5,6","7B106,7C202,クリエイティブメディアラボ"
GC42102,専門英語A,春ABC,随時,
GC42202,専門英語B,秋ABC,随時,
GC42302,専門英語A,秋ABC,随時,
GC42402,専門英語B,春ABC,随時,
GC48608,卒業研究B,春ABC,随時,
